date,soybean_oil_usd_mt,maize_usd_mt,wheat_usd_mt,dap_fertiliser_usd_mt,mop_potash_usd_mt,wheat_usd_mt_mom_pct,wheat_usd_mt_yoy_pct,maize_usd_mt_mom_pct,maize_usd_mt_yoy_pct,soybean_oil_usd_mt_mom_pct,soybean_oil_usd_mt_yoy_pct,dap_fertiliser_usd_mt_mom_pct,dap_fertiliser_usd_mt_yoy_pct,mop_potash_usd_mt_mom_pct,mop_potash_usd_mt_yoy_pct,dap_to_wheat_ratio,fertiliser_composite_idx
1960-01-31,204.0,45.0,59.89,,28.5,,,,,,,,,,,,28.5
1960-02-29,201.0,44.0,60.99,,28.5,1.837,,-2.222,,-1.471,,,,0.0,,,28.5
1960-03-31,201.0,45.0,61.73,,28.5,1.213,,2.273,,0.0,,,,0.0,,,28.5
1960-04-30,207.0,45.0,60.99,,28.5,-1.199,,0.0,,2.985,,,,0.0,,,28.5
1960-05-31,209.0,48.0,57.69,,28.5,-5.411,,6.667,,0.966,,,,0.0,,,28.5
1960-06-30,218.0,47.0,55.48,,28.5,-3.831,,-2.083,,4.306,,,,0.0,,,28.5
1960-07-31,224.0,47.0,54.75,,28.5,-1.316,,0.0,,2.752,,,,0.0,,,28.5
1960-08-31,237.0,47.0,55.12,,28.5,0.676,,0.0,,5.804,,,,0.0,,,28.5
1960-09-30,231.0,46.0,56.59,,28.5,2.667,,-2.128,,-2.532,,,,0.0,,,28.5
1960-10-31,237.0,42.0,56.95,,28.5,0.636,,-8.696,,2.597,,,,0.0,,,28.5
1960-11-30,259.0,38.0,57.69,,28.5,1.299,,-9.524,,9.283,,,,0.0,,,28.5
1960-12-31,259.0,40.0,58.05,,28.5,0.624,,5.263,,0.0,,,,0.0,,,28.5
1961-01-31,278.0,43.0,58.79,,30.0,1.275,-1.837,7.5,-4.444,7.336,36.275,,,5.263,5.263,,30.0
1961-02-28,303.0,44.0,59.16,,30.0,0.629,-3.0,2.326,0.0,8.993,50.746,,,0.0,5.263,,30.0
1961-03-31,311.0,44.0,58.05,,30.0,-1.876,-5.961,0.0,-2.222,2.64,54.726,,,0.0,5.263,,30.0
1961-04-30,322.0,43.0,57.32,,30.0,-1.258,-6.017,-2.273,-4.444,3.537,55.556,,,0.0,5.263,,30.0
1961-05-31,314.0,45.0,55.85,,30.0,-2.565,-3.189,4.651,-6.25,-2.484,50.239,,,0.0,5.263,,30.0
1961-06-30,295.0,44.0,54.38,,30.0,-2.632,-1.983,-2.222,-6.383,-6.051,35.321,,,0.0,5.263,,30.0
1961-07-31,282.0,45.0,56.59,,30.0,4.064,3.361,2.273,-4.255,-4.407,25.893,,,0.0,5.263,,30.0
1961-08-31,276.0,44.0,58.79,,30.0,3.888,6.658,-2.222,-6.383,-2.128,16.456,,,0.0,5.263,,30.0
1961-09-30,267.0,43.0,59.89,,30.0,1.871,5.831,-2.273,-6.522,-3.261,15.584,,,0.0,5.263,,30.0
1961-10-31,270.0,47.64,60.26,,30.0,0.618,5.812,10.791,13.429,1.124,13.924,,,0.0,5.263,,30.0
1961-11-30,265.0,48.42,61.73,,30.0,2.439,7.003,1.637,27.421,-1.852,2.317,,,0.0,5.263,,30.0
1961-12-31,265.0,48.42,62.46,,30.0,1.183,7.597,0.0,21.05,0.0,2.317,,,0.0,5.263,,30.0
1962-01-31,265.0,48.03,60.63,,30.0,-2.93,3.13,-0.805,11.698,0.0,-4.676,,,0.0,0.0,,30.0
1962-02-28,259.0,48.03,61.36,,30.0,1.204,3.719,0.0,9.159,-2.264,-14.521,,,0.0,0.0,,30.0
1962-03-31,256.0,48.82,61.73,,30.0,0.603,6.339,1.645,10.955,-1.158,-17.685,,,0.0,0.0,,30.0
1962-04-30,254.0,48.82,62.1,,30.0,0.599,8.339,0.0,13.535,-0.781,-21.118,,,0.0,0.0,,30.0
1962-05-31,234.0,49.6,63.57,,30.0,2.367,13.823,1.598,10.222,-7.874,-25.478,,,0.0,0.0,,30.0
1962-06-30,215.0,49.6,64.3,,30.0,1.148,18.242,0.0,12.727,-8.12,-27.119,,,0.0,0.0,,30.0
1962-07-31,198.0,48.82,65.4,,30.0,1.711,15.568,-1.573,8.489,-7.907,-29.787,,,0.0,0.0,,30.0
